Customer ID;Umur;Income;Product_holding;Saving;Deposit;KK;Tab Bisnis;Limit Kredit Mortgage;;;;
1234561175;27;42575689;3;29928552;22079895;856297;0;5642476605;1;1;1;0
1234561810;53;39689086;3;28300546;0;599572;17479146;4947635153;1;0;1;1
1234561778;52;34865079;2;42832622;0;2743516;0;5721156299;1;0;1;0
1234561915;40;22211174;4;27930492;18639840;4534694;18489681;5329265880;1;1;1;1
1234561363;55;17486701;2;26888914;0;0;11176695;462604202;1;0;0;1
1234561836;49;36606447;2;30354847;18926176;0;0;1920352803;1;1;0;0
1234561944;32;40633187;1;6128372;0;0;0;3225762435;1;0;0;0
1234561830;45;41752019;3;30232262;24001866;0;12135457;3923697158;1;1;0;1
1234561621;33;31574215;4;28737145;17599716;2003089;13794361;332563057;1;1;1;1
1234561498;39;13449177;3;10080989;0;2670910;14794262;2284636734;1;0;1;1
1234561169;43;45789633;3;15211111;0;870942;11825330;5168839929;1;0;1;1
1234561815;35;26679866;3;14430923;0;2636203;16411518;3937709089;1;0;1;1
1234561919;52;40259740;3;41948830;29494291;3917712;0;729569318;1;1;1;0
1234561095;35;19150805;2;1497579;0;4204077;0;3529382053;1;0;1;0
1234561624;35;46296604;2;12327710;0;2041011;0;2067814620;1;0;1;0
1234561850;31;26882172;2;32283108;0;1450620;0;5597207279;1;0;1;0
1234561891;25;11729023;2;13297047;0;0;16782180;5976636327;1;0;0;1
1234561009;32;35888958;3;32964316;0;1992980;11041308;5882725773;1;0;1;1
1234561809;33;21102039;2;31783927;0;4481486;0;1605885270;1;0;1;0
1234561832;38;41940425;3;8904456;28217465;0;18376245;5675512968;1;1;0;1
1234561193;54;33351334;3;1303912;25533913;0;12474513;4714236618;1;1;0;1
1234561398;41;12238235;2;36016430;0;0;11183793;4591669107;1;0;0;1
1234561679;48;23474959;3;37190592;0;1699508;14213785;426482175;1;0;1;1
1234561331;45;13142528;1;23505474;0;0;0;866041946;1;0;0;0
1234561000;42;28492969;3;27428467;0;4639461;12568467;5060644926;1;0;1;1
1234561107;34;14628193;3;21257307;15220587;4745684;0;1954945245;1;1;1;0
1234561162;55;30785973;2;3245372;0;1953410;0;3279989932;1;0;1;0
1234561275;41;38672614;3;33196421;0;2080363;17122297;818893341;1;0;1;1
1234561148;22;35906608;1;28911914;0;0;0;3118424503;1;0;0;0
1234561623;22;36429363;2;40494136;16963403;0;0;1356008688;1;1;0;0
1234561834;53;33517859;2;5823787;0;1161398;0;2574746858;1;0;1;0
1234561958;44;28126031;3;20227800;16026727;0;14534210;3338304264;1;1;0;1
1234561488;51;48215902;3;16891955;12312717;0;13049049;3715611960;1;1;0;1
1234561677;48;43650129;4;38920767;18887118;4257425;12513758;3471517882;1;1;1;1
1234561828;55;17536318;4;1297261;14536803;2043596;14905774;5154781845;1;1;1;1
1234561621;48;36876871;3;953192;22723920;3807015;0;753229563;1;1;1;0
1234562000;43;47960465;2;21268688;24501077;0;0;2187119532;1;1;0;0
1234561930;52;13956364;2;11010273;21475558;0;0;5932666252;1;1;0;0
1234561384;22;33770115;3;4802778;0;3967111;16012914;5600489900;1;0;1;1
1234561233;21;30999493;4;33697229;2369078;1159346;11783593;2498698736;1;1;1;1
1234561359;37;12443546;2;5354614;0;717180;0;455012568;1;0;1;0
1234561160;38;30943425;4;1514393;28267601;3477579;10092509;4033626391;1;1;1;1
1234561945;25;22477487;3;19277651;0;2856270;18879655;3382502910;1;0;1;1
1234561128;48;22136309;1;27114687;0;0;0;2099336640;1;0;0;0
1234561216;27;18470922;3;17369868;5919831;0;17292382;4865804623;1;1;0;1
1234561352;27;20474103;4;24601905;26989173;2769435;18533494;4483299840;1;1;1;1
